,Unnamed: 0,text,text_negated,text_boosted,text_inhibited,sentiment_id,sentiment,predictions,keys,text_len,predictions_negated,keys_negated,senti_negated,senti_neg_id,pred_emobert_neg,predictions_boosted,predictions_inhibited,pred_emobert,predictions_plut,predictions_n_plut,predictions_b_plut,predictions_i_plut
0,0,It feels sad.,It feels no sad.,It feels extremely sad.,It feels kinda sad.,6,Sad,"{'fear': 0.019, 'acceptance': 0.024, 'disgust_loathing': 0.051, 'boredom': 0.306, 'sadness': 0.641}",['sad.'],13,"{'trust': 0.018, 'disgust': 0.024, 'interest_vigilance': 0.344, 'joy': 0.656}",['sad.'],Happy,4,0,"{'acceptance': 0.024, 'fear': 0.026, 'disgust_loathing': 0.065, 'boredom': 0.318, 'sadness': 1.1533}","{'acceptance': 0.023, 'fear': 0.025, 'disgust_loathing': 0.056, 'boredom': 0.34, 'sadness': 0.4179}",0,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0.5, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0.9, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0.3, 'fear': 0, 'trust': 0, 'surprise': 0}"
1,1,"How rich I am!""","How not rich I am!""","How amazingly rich I am!""","How little rich I am!""",4,Happy,"{'trust': 0.035, 'acceptance': 0.063, 'amazement_surprise': 0.413, 'joy_ecstasy': 0.53}",['rich'],15,"{'joy': 0.012, 'boredom': 0.015, 'distraction': 0.018, 'surprise': 0.021, 'interest_vigilance': 0.022, 'fear': 0.033, 'disgust': 0.07100000000000001, 'anticipation': 0.359, 'sadness': 0.489}",['rich'],Sad,6,1,"{'trust': 0.024, 'acceptance': 0.034, 'amazement_surprise': 0.551, 'joy_ecstasy': 0.7776000000000001}","{'admire': 0.005, 'trust': 0.029, 'acceptance': 0.039, 'joy_ecstasy': 0.3325, 'amazement_surprise': 0.493}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
2,2,He's angry to-day.,He wasn t angry to-day.,He was absolutely angry to-day.,He was sortof angry to-day.,2,Angry-Disgusted,"{'disgust_loathing': 0.097, 'boredom': 0.111, 'fear': 0.113, 'anger': 0.72}",['angry'],18,"{'boredom': 0.005, 'anticipation': 0.029, 'interest_vigilance': 0.096, 'trust': 0.179, 'joy': 0.732}",['angry'],Happy,4,3,"{'amazement_surprise': 0.003, 'disgust_loathing': 0.054, 'fear': 0.113, 'boredom': 0.127, 'anger': 1.4136}","{'disgust_loathing': 0.079, 'fear': 0.112, 'boredom': 0.165, 'anger': 0.41100000000000003}",3,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
3,3,That was a pleasure!,That wasn t a pleasure!,That was so a pleasure!,That was partly a pleasure!,4,Happy,"{'trust': 0.006, 'acceptance': 0.03, 'admire': 0.056, 'amazement_surprise': 0.391, 'joy_ecstasy': 0.558}",['pleasure!'],20,"{'trust': 0.001, 'boredom': 0.004, 'surprise': 0.017, 'interest_vigilance': 0.056, 'anticipation': 0.09, 'disgust': 0.158, 'distraction': 0.171, 'joy': 0.268, 'sadness': 0.275}",['pleasure!'],Sad,6,3,"{'acceptance': 0.03, 'admire': 0.047, 'joy_ecstasy': 0.505, 'amazement_surprise': 0.8244}","{'anger': 0.002, 'senerity': 0.003, 'admire': 0.009, 'trust': 0.016, 'boredom': 0.02, 'disgust_loathing': 0.02, 'acceptance': 0.042, 'amazement_surprise': 0.1834, 'joy_ecstasy': 0.667}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
4,4,How merry we shall be!,How not merry we shall be!,How extremely merry we shall be!,How little merry we shall be!,4,Happy,"{'senerity': 0.007, 'acceptance': 0.028, 'amazement_surprise': 0.047, 'admire': 0.069, 'joy_ecstasy': 0.89}",['merry'],22,"{'surprise': 0.01, 'fear': 0.011, 'distraction': 0.013, 'trust': 0.023, 'anticipation': 0.044, 'interest_vigilance': 0.047, 'boredom': 0.054, 'joy': 0.067, 'disgust': 0.239, 'sadness': 0.534}",['merry'],Sad,6,1,"{'admire': 0.005, 'trust': 0.009, 'senerity': 0.011, 'acceptance': 0.033, 'amazement_surprise': 0.109, 'joy_ecstasy': 1.6606}","{'anger': 0.007, 'trust': 0.016, 'fear': 0.02, 'acceptance': 0.027, 'admire': 0.093, 'amazement_surprise': 0.118, 'joy_ecstasy': 0.5327}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
5,5,Pig-wig looked anxious.,Pig-wig didn't look anxious.,Pig-wig looks entirely anxious.,Pig-wig looks sorta anxious.,3,Fearful,"{'anger': 0.015, 'boredom': 0.037, 'distraction': 0.055, 'amazement_surprise': 0.056, 'disgust_loathing': 0.143, 'interest_vigilance': 0.231, 'fear': 0.505}",['anxious.'],23,"{'interest_vigilance': 0.034, 'senerity': 0.056, 'anticipation': 0.068, 'joy': 0.131, 'boredom': 0.255, 'trust': 0.497}",['anxious.'],Happy,4,4,"{'anger': 0.021, 'boredom': 0.044, 'amazement_surprise': 0.055, 'distraction': 0.078, 'disgust_loathing': 0.158, 'interest_vigilance': 0.189, 'fear': 0.9424}","{'anger': 0.022, 'amazement_surprise': 0.051, 'boredom': 0.063, 'distraction': 0.09, 'disgust_loathing': 0.152, 'interest_vigilance': 0.156, 'fear': 0.3042}",4,"{'anger': 0, 'anticipation': 0, 'disgust': 0.5, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0.5, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0.5, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0.5, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
6,6,"""Oh, what a splendour!""","""Oh, it wasn't splendour!""","""Oh, it was most splendour!""","""Oh, it was almost splendour!""",4,Happy,"{'fear': 0.005, 'distraction': 0.017, 'admire': 0.027, 'joy_ecstasy': 0.4, 'amazement_surprise': 0.592}","['splendour!""']",23,"{'trust': 0.003, 'fear': 0.01, 'joy': 0.016, 'senerity': 0.023, 'interest_vigilance': 0.028, 'distraction': 0.033, 'disgust': 0.069, 'anticipation': 0.344, 'sadness': 0.516}","['splendour!""']",Sad,6,1,"{'anger': 0.007, 'trust': 0.019, 'acceptance': 0.027, 'admire': 0.057, 'amazement_surprise': 0.5238, 'joy_ecstasy': 0.641}","{'distraction': 0.012, 'fear': 0.013, 'trust': 0.02, 'acceptance': 0.031, 'joy_ecstasy': 0.3608, 'amazement_surprise': 0.513}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
7,7,"Oh, how wretched I am!""","Oh, no wretched I am!""","Oh, highly wretched I am!""","Oh, almost wretched I am!""",6,Sad,"{'acceptance': 0.016, 'fear': 0.039, 'disgust_loathing': 0.146, 'boredom': 0.345, 'sadness': 0.495}",['wretched'],23,"{'disgust': 0.008, 'trust': 0.047, 'interest_vigilance': 0.3, 'joy': 0.687}",['wretched'],Happy,4,0,"{'acceptance': 0.015, 'fear': 0.038, 'disgust_loathing': 0.158, 'boredom': 0.343, 'sadness': 0.9253}","{'acceptance': 0.002, 'fear': 0.039, 'disgust_loathing': 0.167, 'boredom': 0.309, 'sadness': 0.4184}",0,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
8,8,How happy the daisy was!,How not happy the daisy was!,How entirely happy the daisy was!,How barely happy the daisy was!,4,Happy,"{'acceptance': 0.004, 'senerity': 0.011, 'trust': 0.014, 'amazement_surprise': 0.193, 'joy_ecstasy': 0.82}",['happy'],24,"{'fear': 0.012, 'trust': 0.027, 'disgust': 0.048, 'interest_vigilance': 0.051, 'distraction': 0.057, 'senerity': 0.063, 'boredom': 0.069, 'joy': 0.094, 'anticipation': 0.164, 'sadness': 0.456}",['happy'],Sad,6,1,"{'senerity': 0.004, 'trust': 0.024, 'acceptance': 0.03, 'amazement_surprise': 0.19, 'joy_ecstasy': 1.5067}","{'admire': 0.016, 'senerity': 0.03, 'acceptance': 0.037, 'sadness': 0.042, 'interest_vigilance': 0.053, 'joy_ecstasy': 0.054300000000000015, 'fear': 0.093, 'disgust_loathing': 0.127, 'distraction': 0.14, 'amazement_surprise': 0.153, 'boredom': 0.169}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
9,9,"I am happier than ever.""","I am no happier than ever.""","I am hella happier than ever.""","I am sorta happier than ever.""",4,Happy,"{'interest_vigilance': 0.004, 'amazement_surprise': 0.018, 'senerity': 0.039, 'anticipation': 0.048, 'acceptance': 0.064, 'trust': 0.079, 'joy_ecstasy': 0.789}",['happier'],24,"{'fear': 0.035, 'surprise': 0.038, 'distraction': 0.056, 'disgust': 0.086, 'sadness': 0.826}",['happier'],Sad,6,1,"{'interest_vigilance': 0.013, 'amazement_surprise': 0.016, 'senerity': 0.03, 'anticipation': 0.035, 'trust': 0.072, 'acceptance': 0.081, 'joy_ecstasy': 1.4274}","{'interest_vigilance': 0.001, 'amazement_surprise': 0.004, 'anticipation': 0.007, 'senerity': 0.054, 'trust': 0.064, 'acceptance': 0.074, 'joy_ecstasy': 0.5022}",1,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
10,10,"""Oh, what lovely flowers!","""Oh, not lovely flowers!","""Oh, soo lovely flowers!","""Oh, kinda lovely flowers!",4,Happy,"{'amazement_surprise': 0.005, 'boredom': 0.013, 'sadness': 0.036, 'anticipation': 0.037, 'senerity': 0.055, 'acceptance': 0.181, 'admire': 0.191, 'joy_ecstasy': 0.523}",['lovely'],25,"{'interest_vigilance': 0.016, 'joy': 0.039, 'distraction': 0.056, 'surprise': 0.08, 'disgust': 0.356, 'sadness': 0.496}",['lovely'],Sad,6,2,"{'boredom': 0.004, 'sadness': 0.029, 'anticipation': 0.052, 'senerity': 0.056, 'acceptance': 0.19, 'admire': 0.39139999999999997, 'joy_ecstasy': 0.504}","{'boredom': 0.007, 'sadness': 0.034, 'anticipation': 0.045, 'senerity': 0.058, 'admire': 0.11130000000000001, 'acceptance': 0.184, 'joy_ecstasy': 0.553}",2,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0.5, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0.9, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}","{'anger': 0, 'anticipation': 0, 'disgust': 0, 'joy': 0.3, 'sad': 0, 'fear': 0, 'trust': 0, 'surprise': 0}"
